	no_of_neighbors	similarity_treshold	social_influence	swingers	beta_component	Run	Echo_Chambers	Silent_Spiral	opinions	radical_opinions	network_type
15	4.1591796875	0.600712890625	0.405419921875	1.70703125	0.80224609375	15	1	0.3	0.47	0.0	1
16	4.1591796875	0.600712890625	0.028369140624999997	1.00390625	0.80224609375	16	0	0.26666666666666666	0.4633333333333333	0.0033333333333333335	1
17	4.1591796875	0.600712890625	0.028369140624999997	1.70703125	0.61240234375	17	9	0.16666666666666666	0.73	0.0	1
18	4.1591796875	0.550439453125	0.405419921875	1.00390625	0.61240234375	18	1	0.26666666666666666	0.49333333333333335	0.0	1
19	3.2216796875	0.600712890625	0.405419921875	1.00390625	0.61240234375	19	9	0.16666666666666666	0.5133333333333333	0.0	1
20	3.2216796875	0.550439453125	0.028369140624999997	1.00390625	0.61240234375	20	4	0.3	0.4266666666666667	0.013333333333333334	1
21	3.2216796875	0.550439453125	0.405419921875	1.70703125	0.61240234375	21	8	0.16666666666666666	0.4266666666666667	0.02	1
22	3.2216796875	0.550439453125	0.405419921875	1.00390625	0.80224609375	22	4	0.3	0.44666666666666666	0.0	1
23	3.2216796875	0.550439453125	0.405419921875	1.00390625	0.61240234375	23	7	0.36666666666666664	0.5033333333333333	0.0	1
24	4.9091796875	0.353212890625	0.770869140625	4.70703125	0.57724609375	24	5	0.16666666666666666	0.3333333333333333	0.34	1
25	2.4716796875	0.353212890625	0.770869140625	4.70703125	0.57724609375	25	6	0.26666666666666666	0.57	0.07	1
26	4.9091796875	0.302939453125	0.770869140625	4.70703125	0.57724609375	26	5	0.2	0.31666666666666665	0.35	1
27	4.9091796875	0.353212890625	0.157919921875	4.70703125	0.57724609375	27	1	0.26666666666666666	0.58	0.0	1
28	4.9091796875	0.353212890625	0.770869140625	2.00390625	0.57724609375	28	3	0.23333333333333334	0.33666666666666667	0.30666666666666664	1
29	4.9091796875	0.353212890625	0.770869140625	4.70703125	0.83740234375	29	5	0.3	0.35	0.38333333333333336	1
30	4.9091796875	0.302939453125	0.157919921875	2.00390625	0.83740234375	30	1	0.23333333333333334	0.44	0.0	1
31	2.4716796875	0.353212890625	0.157919921875	2.00390625	0.83740234375	31	12	0.2	0.49666666666666665	0.0033333333333333335	1
32	2.4716796875	0.302939453125	0.770869140625	2.00390625	0.83740234375	32	6	0.23333333333333334	0.5166666666666667	0.04666666666666667	1
33	2.4716796875	0.302939453125	0.157919921875	4.70703125	0.83740234375	33	6	0.2	0.47333333333333333	0.0	1
34	2.4716796875	0.302939453125	0.157919921875	2.00390625	0.57724609375	34	6	0.2	0.52	0.01	1
35	2.4716796875	0.302939453125	0.157919921875	2.00390625	0.83740234375	35	3	0.2	0.48333333333333334	0.0033333333333333335	1
36	3.4091796875	0.848212890625	0.275869140625	2.70703125	0.12724609375	36	9	0.26666666666666666	0.38666666666666666	0.01	1
37	3.9716796875	0.848212890625	0.275869140625	2.70703125	0.12724609375	37	9	0.3333333333333333	0.55	0.006666666666666667	1
38	3.4091796875	0.797939453125	0.275869140625	2.70703125	0.12724609375	38	5	0.3	0.41	0.0	1
